energy_min GeV,energy_max GeV,energy_mean GeV,energy_mean_error_systematic_total GeV,number_of_events,number_of_events_error_statistical,electron_flux m^-2sr^-1s^-1GeV^-1,electron_flux_error_statistical m^-2sr^-1s^-1GeV^-1,electron_flux_error_systematic_total m^-2sr^-1s^-1GeV^-1
0.50,0.65,0.57,0.02,7629,91,1.731e+1,0.021e+1,0.078e+1
0.65,0.82,0.73,0.02,86810,301,1.710e+1,0.006e+1,0.063e+1
0.82,1.01,0.91,0.03,197265,451,1.658e+1,0.004e+1,0.049e+1
1.01,1.22,1.11,0.03,328584,579,1.562e+1,0.003e+1,0.038e+1
1.22,1.46,1.33,0.03,494218,709,1.391e+1,0.002e+1,0.028e+1
1.46,1.72,1.58,0.04,748885,872,1.200e+1,0.001e+1,0.020e+1
1.72,2.00,1.85,0.04,1036495,1027,1.027e+1,0.001e+1,0.015e+1
2.00,2.31,2.15,0.05,1302149,1153,8.403e+0,0.007e+0,0.110e+0
2.31,2.65,2.47,0.05,1512278,1243,6.897e+0,0.006e+0,0.083e+0
2.65,3.00,2.82,0.06,1558061,1264,5.504e+0,0.004e+0,0.064e+0
3.00,3.36,3.17,0.06,1540803,1256,4.405e+0,0.004e+0,0.050e+0
3.36,3.73,3.54,0.07,1497077,1236,3.555e+0,0.003e+0,0.040e+0
3.73,4.12,3.92,0.08,1463912,1222,2.859e+0,0.002e+0,0.032e+0
4.12,4.54,4.32,0.08,1437643,1208,2.279e+0,0.002e+0,0.025e+0
4.54,5.00,4.76,0.09,1419809,1200,1.800e+0,0.002e+0,0.020e+0
5.00,5.49,5.24,0.10,1364759,1176,1.409e+0,0.001e+0,0.016e+0
5.49,6.00,5.74,0.11,1273522,1137,1.104e+0,0.001e+0,0.013e+0
6.00,6.54,6.26,0.12,1195202,1103,8.715e-1,0.008e-1,0.100e-1
6.54,7.10,6.81,0.13,1074027,1043,6.885e-1,0.007e-1,0.079e-1
7.10,7.69,7.39,0.14,964312,989,5.439e-1,0.006e-1,0.063e-1
7.69,8.30,7.99,0.15,843948,924,4.309e-1,0.005e-1,0.051e-1
8.30,8.95,8.62,0.16,755410,874,3.415e-1,0.004e-1,0.040e-1
8.95,9.62,9.28,0.18,661333,817,2.747e-1,0.003e-1,0.033e-1
9.62,10.32,9.96,0.19,583806,768,2.204e-1,0.003e-1,0.026e-1
10.32,11.04,10.67,0.20,504176,712,1.779e-1,0.003e-1,0.022e-1
11.04,11.80,11.41,0.22,448010,672,1.438e-1,0.002e-1,0.018e-1
11.80,12.59,12.19,0.23,395528,630,1.170e-1,0.002e-1,0.014e-1
12.59,13.41,12.99,0.25,349454,593,9.557e-2,0.016e-2,0.118e-2
13.41,14.25,13.82,0.26,306269,555,7.849e-2,0.014e-2,0.098e-2
14.25,15.14,14.69,0.28,277278,528,6.439e-2,0.012e-2,0.081e-2
15.14,16.05,15.59,0.29,244941,496,5.316e-2,0.011e-2,0.067e-2
16.05,17.00,16.52,0.31,220144,470,4.382e-2,0.009e-2,0.056e-2
17.00,17.98,17.48,0.33,198307,446,3.659e-2,0.008e-2,0.047e-2
17.98,18.99,18.48,0.35,180080,425,3.057e-2,0.007e-2,0.039e-2
18.99,20.04,19.51,0.37,165546,408,2.573e-2,0.006e-2,0.033e-2
20.04,21.13,20.58,0.39,147538,385,2.146e-2,0.006e-2,0.028e-2
21.13,22.25,21.68,0.41,131846,364,1.804e-2,0.005e-2,0.024e-2
22.25,23.42,22.83,0.43,119578,346,1.524e-2,0.004e-2,0.020e-2
23.42,24.62,24.01,0.45,106414,327,1.291e-2,0.004e-2,0.017e-2
24.62,25.90,25.25,0.48,98745,315,1.099e-2,0.004e-2,0.015e-2
25.90,27.25,26.56,0.50,89203,299,9.236e-3,0.031e-3,0.123e-3
27.25,28.68,27.95,0.53,80344,284,7.841e-3,0.028e-3,0.105e-3
28.68,30.21,29.43,0.56,72576,270,6.622e-3,0.025e-3,0.089e-3
30.21,31.82,31.00,0.59,63528,253,5.530e-3,0.022e-3,0.074e-3
31.82,33.53,32.66,0.62,57191,240,4.685e-3,0.020e-3,0.063e-3
33.53,35.36,34.43,0.65,51322,227,3.947e-3,0.017e-3,0.053e-3
35.36,37.31,36.32,0.69,45871,215,3.311e-3,0.015e-3,0.045e-3
37.31,39.39,38.33,0.72,41312,204,2.806e-3,0.014e-3,0.038e-3
39.39,41.61,40.48,0.77,36784,192,2.343e-3,0.012e-3,0.032e-3
41.61,44.00,42.78,0.81,32850,182,1.951e-3,0.011e-3,0.027e-3
44.00,46.57,45.26,0.86,29514,172,1.635e-3,0.010e-3,0.022e-3
46.57,49.33,47.92,0.91,26470,163,1.367e-3,0.008e-3,0.019e-3
49.33,52.33,50.80,0.96,23477,154,1.119e-3,0.007e-3,0.015e-3
52.33,55.58,53.92,1.02,21067,146,9.297e-4,0.064e-4,0.128e-4
55.58,59.13,57.32,1.08,18928,138,7.663e-4,0.056e-4,0.106e-4
59.13,63.02,61.03,1.16,16677,130,6.191e-4,0.048e-4,0.086e-4
63.02,67.30,65.11,1.23,15006,123,5.072e-4,0.042e-4,0.070e-4
67.30,72.05,69.62,1.32,13327,116,4.075e-4,0.035e-4,0.056e-4
72.05,77.37,74.65,1.41,12066,110,3.296e-4,0.030e-4,0.046e-4
77.37,83.36,80.29,1.52,10716,104,2.613e-4,0.025e-4,0.036e-4
83.36,90.19,86.69,1.64,9536,98,2.048e-4,0.021e-4,0.028e-4
90.19,98.08,94.02,1.78,8457,93,1.579e-4,0.017e-4,0.022e-4
98.08,107.3,102.6,1.9,7589,89,1.214e-4,0.014e-4,0.017e-4
107.3,118.4,112.7,2.1,6605,82,8.891e-5,0.111e-5,0.124e-5
118.4,132.1,125.0,2.4,5882,78,6.460e-5,0.086e-5,0.090e-5
132.1,148.8,140.1,2.7,4805,70,4.531e-5,0.066e-5,0.065e-5
148.8,169.9,158.9,3.0,4020,64,3.010e-5,0.048e-5,0.043e-5
169.9,197.7,183.1,3.5,3221,58,1.853e-5,0.034e-5,0.027e-5
197.7,237.2,216.2,4.2,2331,49,1.075e-5,0.023e-5,0.017e-5
237.2,290.0,261.8,5.1,1706,43,5.978e-6,0.149e-6,0.100e-6
290.0,370.0,326.8,6.4,1161,36,3.129e-6,0.096e-6,0.055e-6
370.0,500.0,428.5,8.6,747,29,1.278e-6,0.050e-6,0.026e-6
500.0,700.0,588.8,12.2,392,23,4.560e-7,0.268e-7,0.119e-7
700.0,1000.0,832.3,18.3,214,19,1.771e-7,0.158e-7,0.063e-7
1000.0,1400.0,1177.7,28.6,68,12,4.123e-8,0.700e-8,0.220e-8
